ticker,adtv_10d,total_opt_vol,sum_oi,unique_strikes,med_rel_spread,ivxvol_sum,nearest_expiry,unique_strikes_near,opt_vol_near,oi_near,med_rel_spread_near,low_adtv_flag,low_adtv_cut,atm_iv_pct,_grp,mean_atm_iv,std_atm_iv,mean_optvol_near,atm_iv_z,vol_ratio,suspicious_flag
FTNT,4469150,6711,10683,10,0.3422519509476031,4211.12,2025-10-17,8,4738,10142,0.5045045045045045,True,14334680.00000001,47.7544287109375,ai,79.03060400604784,32.27975642585164,66691.78947368421,-0.968909891465675,0.07104322792042578,False
GFS,3213620,1295,5929,3,1.6470588235294117,1698.1,2025-10-17,2,740,3332,1.6470588235294117,True,14334680.00000001,84.57046679687498,chips,87.10723650750882,35.79945756047588,32872.31707317073,-0.07086056279898877,0.02251134285279704,False
GLBE,1291960,10531,19939,2,1.0704225352112675,21301.18,2025-10-17,2,10531,19939,1.0704225352112675,True,14334680.00000001,112.3049716796875,ai,79.03060400604784,32.27975642585164,66691.78947368421,1.0308122290226291,0.157905494560997,False
GNRC,1043600,1885,2232,4,0.8995215311004783,3001.45,2025-10-17,4,1885,2232,0.8995215311004783,True,14334680.00000001,70.23955541992189,nuclear,95.37870717181582,61.23384879323365,9451.484848484848,-0.41054338813130126,0.19943956216595757,False
GOOGL,26426570,335437,465652,47,0.07194244604316546,146510.22,2025-10-17,44,240924,377111,0.13942307692307704,False,14334680.00000001,39.30724755859375,ai,79.03060400604784,32.27975642585164,66691.78947368421,-1.2305965362130538,3.612498658400308,False
GORO,3213770,717,1796,3,0.7,739.0699999999999,2025-10-17,1,417,974,0.9999999999999999,True,14334680.00000001,168.750390625,mining,98.95338873650046,41.52811534498759,8375.411764705883,1.680716818200708,0.04978859687320026,False
HBM,8545680,913,6705,3,0.16807909604519772,647.72,2025-11-21,3,913,6705,0.16807909604519772,True,14334680.00000001,71.7776259765625,mining,98.95338873650046,41.52811534498759,8375.411764705883,-0.6543943189855844,0.1090095658159037,False
HII,410450,64,357,1,2.0,106.44,2025-10-17,1,64,357,2.0,True,14334680.00000001,61.62147753906251,defense,82.68200137695312,35.88429860686697,10215.52,-0.5869008077493922,0.006264977211145394,False
HIMX,1217030,261,3702,2,0.30000000000000004,218.16,2025-10-17,1,140,2067,0.4000000000000001,True,14334680.00000001,121.0938984375,chips,87.10723650750882,35.79945756047588,32872.31707317073,0.9493624832884033,0.004258902701880521,False
HL,19541690,18299,70338,18,0.30156181579331487,24180.05,2025-10-17,16,13509,58666,0.43181818181818193,False,14334680.00000001,103.90673046875003,mining,98.95338873650046,41.52811534498759,8375.411764705883,0.1192768246548283,1.6129356238850416,False
